sentence,jo,label
"The finding, in a study of 261,767 Chicago-area women in the journal Cancer Epidemiology, Biomarkers and Prevention, highlights an unintended consequence of such false alarms, known as false positives.","Cancer Epidemiology, Biomarkers and Prevention",1
"It’s possible some of the differences between the two cities might be explained by the extensive public hospital network in New York, the authors note in the International Journal of Health Services.",International Journal of Health Services,1
"Protein is known to protect bone density, muscle mass and strength, but it’s been unclear whether the protein must come from specific food sources, the researchers write in The American Journal of Clinical Nutrition.",The American Journal of Clinical Nutrition,1
"In addition, chlamydia, gonorrhea and primary and secondary syphilis cases rose to an all-time high in 2015, the authors write in Journal of Adolescent Health.",Journal of Adolescent Health,1
"“Once you’re disengaged, you do worse, you get lower grades, you’re more likely to get in trouble, and so on, and once kids have low grades or high absences, they’re just less likely to go on and get higher SAT scores and eventually make it to college.”   In a time of increased concern about how minorities are treated by police, teachers and other authorities, it is critical to examine whether students of color have experiences in school that lead to mistrust of authorities and what the long-term implications are for young people, Yeager and colleagues write in the journal Child Development.",Child Development,1
"No more than 21 percent of the increased risk of cardiovascular disease for mothers of preemies could be explained by weight gain, high blood pressure, high cholesterol or diabetes that women developed after they had their first baby, researchers report in the journal Circulation.",Circulation,1
"Just 27 percent of those over age 60 were vaccinated against herpes zoster, which cuts the risk of shingles in half, according to new guidelines from the Advisory Committee on Immunization Practices (ACIP) published in Annals of Internal Medicine.",Annals of Internal Medicine,1
"Overall, 1,080 teens, or about 15 percent, said they had tried e-cigarettes, researchers report in Pediatrics.",Pediatrics,1
"These synthetic cannabinoids (SCBs) are not detectable with standard drug screening for the active substance in marijuana because they are very different, and potentially dangerous, molecules, the study team writes in Trends in Pharmacological Sciences.",Trends in Pharmacological Sciences,1
"When the babies were six months old, 72 percent of the mothers eligible for cash rewards were breastfeeding but none of the other mothers were, researchers report in Pediatrics.",Pediatrics,1
"“This study shows that as soon as you can ventilate, the better.”   The variables posed the biggest limitation in the study, the authors write in the Emergency Medicine Journal.",Emergency Medicine Journal,1
"International medical graduates make up a quarter of the physician workforce in the U.S., the UK, Canada and Australia, researchers note in the BMJ.",BMJ,1
